entity_text,base_url,subdiv_name_proper,rayon_name_proper,oblast_name_proper,n
abay-kokpekti-district,https://www.gov.kz/memleket/entities/abay-kokpekti-district,Кокпектинский сельский округ,Кокпектинский район,область Абай,1
abay-kokpekti-bighash,https://www.gov.kz/memleket/entities/abay-kokpekti-bighash,Бигашский сельский округ,Кокпектинский район,область Абай,1
abay-kokpekti-aukhadiev,https://www.gov.kz/memleket/entities/abay-kokpekti-aukhadiev,сельский округ им.Койгельды Аухадиевый,Кокпектинский район,область Абай,1
abay-kokpekti-tassay,https://www.gov.kz/memleket/entities/abay-kokpekti-tassay,Тассайский сельский округ,Кокпектинский район,область Абай,1
abay-kokpekti-shugalbay,https://www.gov.kz/memleket/entities/abay-kokpekti-shugalbay,Шугылбайский сельский округ,Кокпектинский район,область Абай,1
abay-kokpekti-ulkenboken,https://www.gov.kz/memleket/entities/abay-kokpekti-ulkenboken,Улкенбокенский сельский округ,Кокпектинский район,область Абай,1
abay-zharma-qarasu,https://www.gov.kz/memleket/entities/abay-zharma-qarasu,Карасуский сельский округ район Жарма,NA,область Абай,1
abay-zharma-belterek,https://www.gov.kz/memleket/entities/abay-zharma-belterek,Бельтерекский сельский округ район Жарма,NA,область Абай,1
abay-zharma-aqzhal,https://www.gov.kz/memleket/entities/abay-zharma-aqzhal,Акжальский сельский округ,Жарминский район,область Абай,1
abay-zharma-shalabai,https://www.gov.kz/memleket/entities/abay-zharma-shalabai,Шалабайский сельский округ,Жарминский район,область Абай,1
abay-zharma-qapanbulaq,https://www.gov.kz/memleket/entities/abay-zharma-qapanbulaq,Капанбулакский сельский округ район Жарма,NA,область Абай,1
abay-zharma-district,https://www.gov.kz/memleket/entities/abay-zharma-district,Жарминский сельский округ район Жарма,NA,область Абай,1
abay-zharma-birlikshil,https://www.gov.kz/memleket/entities/abay-zharma-birlikshil,Бирликшильский сельский округ,Жариминский район,область Абай,1
abay-zharma-birlik,https://www.gov.kz/memleket/entities/abay-zharma-birlik,Бирликский сельский округ район Жарма,NA,область Абай,1
abay-zharma-bozhegur,https://www.gov.kz/memleket/entities/abay-zharma-bozhegur,Божегурский сельский округ район Жарма,NA,область Абай,1
abay-zharma-auezov,https://www.gov.kz/memleket/entities/abay-zharma-auezov,Ауэзовский сельский округ район Жарма,NA,область Абай,1
abay-boroduliha,https://www.gov.kz/memleket/entities/abay-boroduliha/about/structure/departments/leadership/5087/1,Таврический сельский округ,NA,область Абай,18
abay-boroduliha,https://www.gov.kz/memleket/entities/abay-boroduliha/about/structure/departments/leadership/5085/1,Степной сельский округ,NA,область Абай,18
abay-boroduliha,https://www.gov.kz/memleket/entities/abay-boroduliha/about/structure/departments/leadership/5083/1,Подборный сельский округ,NA,область Абай,18
abay-boroduliha,https://www.gov.kz/memleket/entities/abay-boroduliha/about/structure/departments/leadership/5082/1,Петропавловский сельский округ,NA,область Абай,18
abay-boroduliha,https://www.gov.kz/memleket/entities/abay-boroduliha/about/structure/departments/leadership/5050/1,Переменовский сельский округ,NA,область Абай,18
abay-boroduliha,https://www.gov.kz/memleket/entities/abay-boroduliha/about/structure/departments/leadership/5046/1,Новошульбинский сельский округ,NA,область Абай,18
abay-boroduliha,https://www.gov.kz/memleket/entities/abay-boroduliha/about/structure/departments/leadership/5037/1,Новопокровский сельский округ,NA,область Абай,18
abay-boroduliha,https://www.gov.kz/memleket/entities/abay-boroduliha/about/structure/departments/leadership/5026/1,Новодворовский сельский округ,NA,область Абай,18
abay-boroduliha,https://www.gov.kz/memleket/entities/abay-boroduliha/about/structure/departments/leadership/5024/1,Кунарлинский сельский округ,NA,область Абай,18
abay-boroduliha,https://www.gov.kz/memleket/entities/abay-boroduliha/about/structure/departments/leadership/5012/1,Красноярский сельский округ,NA,область Абай,18
abay-boroduliha,https://www.gov.kz/memleket/entities/abay-boroduliha/about/structure/departments/leadership/5009/1,Зубаирский сельский округ,NA,область Абай,18
abay-boroduliha,https://www.gov.kz/memleket/entities/abay-boroduliha/about/structure/departments/leadership/5008/1,Жерновский сельский округ,NA,область Абай,18
abay-boroduliha,https://www.gov.kz/memleket/entities/abay-boroduliha/about/structure/departments/leadership/5006/1,Жезкентский поселковый округ,NA,область Абай,18
abay-boroduliha,https://www.gov.kz/memleket/entities/abay-boroduliha/about/structure/departments/leadership/5002/1,Дмитриевский сельский округ,NA,область Абай,18
abay-boroduliha,https://www.gov.kz/memleket/entities/abay-boroduliha/about/structure/departments/leadership/5000/1,Бородулихинский сельский округ,NA,область Абай,18
abay-boroduliha,https://www.gov.kz/memleket/entities/abay-boroduliha/about/structure/departments/leadership/4950/1,Бель-Агачский сельский округ,NA,область Абай,18
abay-boroduliha,https://www.gov.kz/memleket/entities/abay-boroduliha/about/structure/departments/leadership/4948/1,Бакинский сельский округ,NA,область Абай,18
abay-boroduliha,https://www.gov.kz/memleket/entities/abay-boroduliha/about/structure/departments/leadership/4942/1,Андреевский сельский округ,NA,область Абай,18
abay-beskaragay,https://www.gov.kz/memleket/entities/abay-beskaragay/about/structure/departments/leadership/5113/1,Карабасский сельский округ,Бескарагайский район,область Абай,10
abay-beskaragay,https://www.gov.kz/memleket/entities/abay-beskaragay/about/structure/departments/leadership/5111/1,Ерназаровский сельский округ,Бескарагайский район,область Абай,10
abay-beskaragay,https://www.gov.kz/memleket/entities/abay-beskaragay/about/structure/departments/leadership/5106/1,Баскольский сельский округ,Бескарагайский район,область Абай,10
abay-beskaragay,https://www.gov.kz/memleket/entities/abay-beskaragay/about/structure/departments/leadership/5088/1,Долонской сельский округ,Бескарагайский район,область Абай,10
abay-beskaragay,https://www.gov.kz/memleket/entities/abay-beskaragay/about/structure/departments/leadership/5086/1,М-владимироский сельский округ,Бескарагайский район,область Абай,10
abay-beskaragay,https://www.gov.kz/memleket/entities/abay-beskaragay/about/structure/departments/leadership/5084/1,Канонерский сельский округ,Бескарагайский район,область Абай,10
abay-beskaragay,https://www.gov.kz/memleket/entities/abay-beskaragay/about/structure/departments/leadership/5072/1,Глуховский сельский округ,Бескарагайский район,область Абай,10
abay-beskaragay,https://www.gov.kz/memleket/entities/abay-beskaragay/about/structure/departments/leadership/5070/1,Жетижарский сельский округ,Бескарагайский район,область Абай,10
abay-beskaragay,https://www.gov.kz/memleket/entities/abay-beskaragay/about/structure/departments/leadership/5060/1,Бегенский сельский округ,Бескарагайский район,область Абай,10
abay-beskaragay,https://www.gov.kz/memleket/entities/abay-beskaragay/about/structure/departments/leadership/5055/1,Бескарагайский сельский округ,Бескарагайский район,область Абай,10
abay-ayagoz-district,https://www.gov.kz/memleket/entities/abay-ayagoz-district,город Аягоз район Аягоз,NA,область Абай,1
abay-ayagoz-tarbagatai,https://www.gov.kz/memleket/entities/abay-ayagoz-tarbagatai,Тарбагатайский сельский окурга Аягозский район,NA,область Абай,1
abay-ayagoz-tarlauly,https://www.gov.kz/memleket/entities/abay-ayagoz-tarlauly,Тарлаулинский сельский округ район Аягоз,NA,область Абай,1
abay-ayagoz-mamyrsu,https://www.gov.kz/memleket/entities/abay-ayagoz-mamyrsu,Мамырсуский сельский округ район Аягоз,NA,область Абай,1
abay-ayagoz-saryarqa,https://www.gov.kz/memleket/entities/abay-ayagoz-saryarqa,Сарыаркинский сельский округ район Аягоз,NA,область Абай,1
abay-ayagoz-orken,https://www.gov.kz/memleket/entities/abay-ayagoz-orken,Оркенский сельский округ район Аягоз,NA,область Абай,1
abay-ayagoz-naryn,https://www.gov.kz/memleket/entities/abay-ayagoz-naryn,Нарынский сельский округ район Аягоз,NA,область Абай,1
abay-ayagoz-mynbulaq,https://www.gov.kz/memleket/entities/abay-ayagoz-mynbulaq,Мынбулакский сельский округ район Аягоз,NA,область Абай,1
abay-ayagoz-malkeldi,https://www.gov.kz/memleket/entities/abay-ayagoz-malkeldi,Малгельдинский сельский округ район Аягоз,NA,область Абай,1
abay-ayagoz-mailin,https://www.gov.kz/memleket/entities/abay-ayagoz-mailin,Майлинский сельский округ район Аягоз,NA,область Абай,1
abay-ayagoz-madeniet,https://www.gov.kz/memleket/entities/abay-ayagoz-madeniet,Мадениетский сельский округ район Аягоз,NA,область Абай,1
abay-ayagoz-qoshagash,https://www.gov.kz/memleket/entities/abay-ayagoz-qoshagash,Косагашский сельский округ район Аягоз,NA,область Абай,1
abay-ayagoz-qopa,https://www.gov.kz/memleket/entities/abay-ayagoz-qopa,Копинский сельский округ район Аягоз,NA,область Абай,1
abay-ayagoz-qaraagash,https://www.gov.kz/memleket/entities/abay-ayagoz-qaraagash,Карагашский сельский округ район Аягоз,NA,область Абай,1
abay-ayagoz-emeltau,https://www.gov.kz/memleket/entities/abay-ayagoz-emeltau,Емелтауский сельский округ район Аягоз,NA,область Абай,1
abay-ayagoz-bidaiyq,https://www.gov.kz/memleket/entities/abay-ayagoz-bidaiyq,Бидайыкский сельский округ район Аягоз,NA,область Абай,1
abay-ayagoz-barshatas,https://www.gov.kz/memleket/entities/abay-ayagoz-barshatas,Баршатасский сельский округ район Аягоз,NA,область Абай,1
abay-ayagoz-baiqoshqar,https://www.gov.kz/memleket/entities/abay-ayagoz-baiqoshqar,Байкошкарский сельский округ район Аягоз,NA,область Абай,1
abay-ayagoz-aqshi,https://www.gov.kz/memleket/entities/abay-ayagoz-aqshi,Акшийский сельский округ район Аягоз,NA,область Абай,1
abay-ayagoz-aqshauli,https://www.gov.kz/memleket/entities/abay-ayagoz-aqshauli,Акшаулинский сельский округ район Аягоз,NA,область Абай,1
abay-ayagoz-aqshatau,https://www.gov.kz/memleket/entities/abay-ayagoz-aqshatau,Акшатауский сельский округ район Аягоз,NA,область Абай,1
abay-ayagoz-aqtogai,https://www.gov.kz/memleket/entities/abay-ayagoz-aqtogai,Актогайский поселковый округ Аягозский район,NA,область Абай,1
abay-ayagoz-aiqyz,https://www.gov.kz/memleket/entities/abay-ayagoz-aiqyz,Айгызский сельский округ,Аягозский район,область Абай,1
abay-saryzhal-district,https://www.gov.kz/memleket/entities/abay-saryzhal-district,Саржалский сельский округ район Абай,NA,область Абай,1
abay-qasqabulaq-district,https://www.gov.kz/memleket/entities/abay-qasqabulaq-district,Каскабулакий сельский округ район Абай,NA,область Абай,1
abay-qaraauyl-district,https://www.gov.kz/memleket/entities/abay-qaraauyl-district,Карааульский сельский округ район Абай,NA,область Абай,1
abay-toktamys-district,https://www.gov.kz/memleket/entities/abay-toktamys-district,Токтамысский сельский округ,NA,область Абай,1
abay-kengirbay-district,https://www.gov.kz/memleket/entities/abay-kengirbay-district,Кенгирбай бийский сельский округ,Абайский район,область Абай,1
abay-kokbai-district,https://www.gov.kz/memleket/entities/abay-kokbai-district,Кокбайский сельский округ район Абай,NA,область Абай,1
abay-medeu-district,https://www.gov.kz/memleket/entities/abay-medeu-district,Медеуский сельский округ,Абайский район,область Абай,1
abay-qynduzdy-district,https://www.gov.kz/memleket/entities/abay-qynduzdy-district,Кундыздинский сельский округ район Абай,NA,область Абай,1
abay-arqat-district,https://www.gov.kz/memleket/entities/abay-arqat-district,Архатский сельский округ район Абай,NA,область Абай,1
aktobe-mugalzhar-mugalzhar,https://www.gov.kz/memleket/entities/aktobe-mugalzhar-mugalzhar,село Мугалжар,Мугалжарский район,Актюбинская область,1
aktobe-mugalzhar-k-zhubanov,https://www.gov.kz/memleket/entities/aktobe-mugalzhar-k-zhubanov,сельский округ им. Кудайберген Жубановый Мугалжарский район,NA,Актюбинская область,1
aktobe-mugalzhar-kaiyndy,https://www.gov.kz/memleket/entities/aktobe-mugalzhar-kaiyndy,Кайындинской сельский округ,Мугалжарский район,Актюбинская область,1
aktobe-mugalzhar-embin,https://www.gov.kz/memleket/entities/aktobe-mugalzhar-embin,город Эмба,Мугалжарский район,Актюбинская область,1
aktobe-mugalzhar-kandyagash,https://www.gov.kz/memleket/entities/aktobe-mugalzhar-kandyagash,город Кандыагаш,Мугалжарский район,Актюбинская область,1
aktobe-mugalzhar-taldysai,https://www.gov.kz/memleket/entities/aktobe-mugalzhar-taldysai,Талдысайский сельский округ,Мугалжарский район,Актюбинская область,1
aktobe-mugalzhar-kumsai,https://www.gov.kz/memleket/entities/aktobe-mugalzhar-kumsai,Кумсайский сельский округ,Мугалжарский район,Актюбинская область,1
aktobe-mugalzhar-kumzhargan,https://www.gov.kz/memleket/entities/aktobe-mugalzhar-kumzhargan,Кумжарганский сельский округ,Мугалжарский район,Актюбинская область,1
aktobe-mugalzhar-zhuryn,https://www.gov.kz/memleket/entities/aktobe-mugalzhar-zhuryn,Журынский сельский округ,Мугалжарский район,Актюбинская область,1
aktobe-mugalzhar-enbek,https://www.gov.kz/memleket/entities/aktobe-mugalzhar-enbek,Енбекский сельский округ,Мугалжарский район,Актюбинская область,1
aktobe-mugalzhar-batpakkol,https://www.gov.kz/memleket/entities/aktobe-mugalzhar-batpakkol,Батпаккольский сельский округ,Мугалжарский район,Актюбинская область,1
aktobe-mugalzhar-ashchysai,https://www.gov.kz/memleket/entities/aktobe-mugalzhar-ashchysai,Ащысайский сельский округ,Мугалжарский район,Актюбинская область,1
aktobe-mugalzhar-akkemer,https://www.gov.kz/memleket/entities/aktobe-mugalzhar-akkemer,Аккемерский сельский округ,Мугалжарский район,Актюбинская область,1
aktobe-shalkar-zhanakonys,https://www.gov.kz/memleket/entities/aktobe-shalkar-zhanakonys,Жанаконысский сельский округ,Шалкарский район,Актюбинская область,1
aktobe-shalkar-shetyrkyz,https://www.gov.kz/memleket/entities/aktobe-shalkar-shetyrkyz,Шетиргизский сельский округ,Шалкарский район,Актюбинская область,1
aktobe-aktobe-shalkar,https://www.gov.kz/memleket/entities/aktobe-aktobe-shalkar,город Шалкар Шалкарский район,NA,Актюбинская область,1
aktobe-shalkar-aishuak,https://www.gov.kz/memleket/entities/aktobe-shalkar-aishuak,Айшуакский сельский округ,Шалкарский район,Актюбинская область,1
aktobe-shalkar-aktogay,https://www.gov.kz/memleket/entities/aktobe-shalkar-aktogay,Актогайский сельский округ,Шалкарский район,Актюбинская область,1
aktobe-shalkar-bozoy,https://www.gov.kz/memleket/entities/aktobe-shalkar-bozoy,Бозойский сельский округ,Шалкарский район,Актюбинская область,1
aktobe-shalkar-bershugir,https://www.gov.kz/memleket/entities/aktobe-shalkar-bershugir,Бершугирский сельский округ,Шалкарский район,Актюбинская область,1
aktobe-shalkar-e-kotibarov,https://www.gov.kz/memleket/entities/aktobe-shalkar-e-kotibarov,сельский округ Есет Котибарулы Шалкарский район,NA,Актюбинская область,1
aktobe-shalkar-kauylzhyr,https://www.gov.kz/memleket/entities/aktobe-shalkar-kauylzhyr,Кауылжырский сельский округ,Шалкарский район,Актюбинская область,1
aktobe-shalkar-kishikum,https://www.gov.kz/memleket/entities/aktobe-shalkar-kishikum,Кишикумский сельский округ,Шалкарский район,Актюбинская область,1
aktobe-shalkar-monkebi,https://www.gov.kz/memleket/entities/aktobe-shalkar-monkebi,Монкебийский сельский округ,Шалкарский район,Актюбинская область,1
aktobe-shalkar-togyz,https://www.gov.kz/memleket/entities/aktobe-shalkar-togyz,Тогызский сельский округ,Шалкарский район,Актюбинская область,1
aktobe-shalkar-shalkar,https://www.gov.kz/memleket/entities/aktobe-shalkar-shalkar,Шалкарский сельский округ,Шалкарский район,Актюбинская область,1
aktobe-khobda-begaly,https://www.gov.kz/memleket/entities/aktobe-khobda-begaly,Бегалинский сельский округ Хобдинской район,Кобдинской район,Актюбинская область,1
aktobe-khobda-bestau,https://www.gov.kz/memleket/entities/aktobe-khobda-bestau,Бестауский сельский округ Хобдинской район,Кобдинской район,Актюбинская область,1
aktobe-khobda-bulak,https://www.gov.kz/memleket/entities/aktobe-khobda-bulak,Булакский сельский округ Хобдинской район,Кобдинской район,Актюбинская область,1
aktobe-khobda-zharsay,https://www.gov.kz/memleket/entities/aktobe-khobda-zharsay,Жарсайский сельский округ Хобдинской район,Кобдинской район,Актюбинская область,1
aktobe-khobda-kyzylzhar,https://www.gov.kz/memleket/entities/aktobe-khobda-kyzylzhar,Кызылжарский сельский округ Хобдинской район,Кобдинской район,Актюбинская область,1
aktobe-khobda-otek,https://www.gov.kz/memleket/entities/aktobe-khobda-otek,Отекский сельский округ Хобдинской район,Кобдинской район,Актюбинская область,1
aktobe-khobda-i-kurmanov,https://www.gov.kz/memleket/entities/aktobe-khobda-i-kurmanov,сельский округ им. И.курманов Хобдинской район,NA,Актюбинская область,1
aktobe-khobda-zharyk,https://www.gov.kz/memleket/entities/aktobe-khobda-zharyk,Жарыкский сельский округ Хобдинской район,Кобдинской район,Актюбинская область,1
aktobe-khobda-sogaly,https://www.gov.kz/memleket/entities/aktobe-khobda-sogaly,Согалинский сельский округ Хобдинской район,Кобдинской район,Актюбинская область,1
aktobe-khobda-akrab,https://www.gov.kz/memleket/entities/aktobe-khobda-akrab,Акрабский сельский округ Хобдинской район,Кобдинской район,Актюбинская область,1
aktobe-khobda-i-biltabanov,https://www.gov.kz/memleket/entities/aktobe-khobda-i-biltabanov,сельский округ Имангали Билтабанов Хобдинской район,NA,Актюбинская область,1
aktobe-khobda-zhirenkopa,https://www.gov.kz/memleket/entities/aktobe-khobda-zhirenkopa,Жиренкопинский сельский округ Хобдинской район,Кобдинской район,Актюбинская область,1
aktobe-khobda-taldysai,https://www.gov.kz/memleket/entities/aktobe-khobda-taldysai,Талдысайский сельский округ,Кобдинской район,Актюбинская область,1
aktobe-khobda-terisakkan,https://www.gov.kz/memleket/entities/aktobe-khobda-terisakkan,Терисакканский сельский округ Хобдинской район,Кобдинской район,Актюбинская область,1
aktobe-khobda-sarbulak,https://www.gov.kz/memleket/entities/aktobe-khobda-sarbulak,Сарбулакский сельский округ Хобдинской район,Кобдинской район,Актюбинская область,1
aktobe-khobda-kobda,https://www.gov.kz/memleket/entities/aktobe-khobda-kobda,Кобдинской сельский округ Хобдинской район,Кобдинской район,Актюбинская область,1
aktobe-irgiz-tauip,https://www.gov.kz/memleket/entities/aktobe-irgiz-tauip,Тауипский сельский округ Иргизский район,Иргизcкий район,Актюбинская область,1
aktobe-irgiz-kyzylzhar,https://www.gov.kz/memleket/entities/aktobe-irgiz-kyzylzhar,Кызылжарский сельский округ Иргизский район,Иргизcкий район,Актюбинская область,1
aktobe-irgiz-kumtogay,https://www.gov.kz/memleket/entities/aktobe-irgiz-kumtogay,Кумтогайский сельский округ Иргизский район,Иргизcкий район,Актюбинская область,1
aktobe-irgiz-zhaisanbai,https://www.gov.kz/memleket/entities/aktobe-irgiz-zhaisanbai,Жайсанбайский сельский округ Иргизский район,Иргизcкий район,Актюбинская область,1
aktobe-irgiz-nura,https://www.gov.kz/memleket/entities/aktobe-irgiz-nura,Нуринский сельский округ Иргизский район,Иргизcкий район,Актюбинская область,1
aktobe-irgiz-amankol,https://www.gov.kz/memleket/entities/aktobe-irgiz-amankol,Аманкольский сельский округ Иргизский район,Иргизcкий район,Актюбинская область,1
aktobe-irgiz-irgiz,https://www.gov.kz/memleket/entities/aktobe-irgiz-irgiz,Иргизский сельский округ Иргизский район,Иргизcкий район,Актюбинская область,1
aktobe-aitekebi-kumkuduk,https://www.gov.kz/memleket/entities/aktobe-aitekebi-kumkuduk,Кумкудукский сельский округ,Айтекебийский район,Актюбинская область,1
aktobe-aitekebi-kayrakty,https://www.gov.kz/memleket/entities/aktobe-aitekebi-kayrakty,Кайрактинский сельский округ,Айтекебийский район,Актюбинская область,1
aktobe-aitekebi-araltogay,https://www.gov.kz/memleket/entities/aktobe-aitekebi-araltogay,Аралтогайский сельский округ,Айтекебийский район,Актюбинская область,1
aktobe-aitekebi-ushkatty,https://www.gov.kz/memleket/entities/aktobe-aitekebi-ushkatty,Ушкаттинский сельский округ,Айтекебийский район,Актюбинская область,1
aktobe-aitekebi-zhambyl,https://www.gov.kz/memleket/entities/aktobe-aitekebi-zhambyl,Жамбылский сельский округ,Айтекебийский район,Актюбинская область,1
aktobe-aitekebi-zhabasak,https://www.gov.kz/memleket/entities/aktobe-aitekebi-zhabasak,Жабасакский сельский округ,Айтекебийский район,Актюбинская область,1
aktobe-aitekebi-aktasty,https://www.gov.kz/memleket/entities/aktobe-aitekebi-aktasty,Актастинский сельский округ,Айтекебийский район,Актюбинская область,1
aktobe-aitekebi-aike,https://www.gov.kz/memleket/entities/aktobe-aitekebi-aike,Айкенский сельский округ,Айтекебийский район,Актюбинская область,1
aktobe-aitekebi-t-zhurgenov,https://www.gov.kz/memleket/entities/aktobe-aitekebi-t-zhurgenov,сельский округ Темирбек Жургеновый Айтекебийский район,NA,Актюбинская область,1
aktobe-aitekebi-akkol,https://www.gov.kz/memleket/entities/aktobe-aitekebi-akkol,Аккольский сельский округ,Айтекебийский район,Актюбинская область,1
aktobe-aitekebi-kyzylzhuldyz,https://www.gov.kz/memleket/entities/aktobe-aitekebi-kyzylzhuldyz,Кызылжулдузский сельский округ,Айтекебийский район,Актюбинская область,1
aktobe-aitekebi-karabutaq,https://www.gov.kz/memleket/entities/aktobe-aitekebi-karabutaq,Карабутакский сельский округ,Айтекебийский район,Актюбинская область,1
aktobe-aitekebi-sarat,https://www.gov.kz/memleket/entities/aktobe-aitekebi-sarat,Саратский сельский округ,Айтекебийский район,Актюбинская область,1
aktobe-aitekebi-tumabulaq,https://www.gov.kz/memleket/entities/aktobe-aitekebi-tumabulaq,Тумабулакский сельский округ,Айтекебийский район,Актюбинская область,1
aktobe-aitekebi-sulukul,https://www.gov.kz/memleket/entities/aktobe-aitekebi-sulukul,Сулукольский сельский округ,Айтекебийский район,Актюбинская область,1
aktobe-alga-karakudyk,https://www.gov.kz/memleket/entities/aktobe-alga-karakudyk,Каракудыкский сельский округ,Алгинский район,Актюбинская область,1
aktobe-alga-yshkudyk,https://www.gov.kz/memleket/entities/aktobe-alga-yshkudyk,Ушкудыкский сельский округ,Алгинский район,Актюбинская область,1
